NUTS2,YL
DE12,12.58449213459838
CH05,8.142721586181283
CZ02,8.196692864839033
CH01,7.85167447220894
BE24,0.0
BG33,4.639404970756132
CZ03,8.196692864839033
CY00,5.315866741741742
CZ01,8.196692864839033
BG34,3.3646514650770825
AT11,6.247263313637784
DE14,12.58449213459838
AT22,9.12102533096314
BE25,6.797498811682547
BE22,0.0
AL01,6.591572628051398
BE23,2.2658329372275157
BG41,4.187938762412527
CZ06,8.196692864839033
CH07,7.821682098765432
ES53,6.64372638033206
AT33,11.207608453853295
AT12,8.186873792039874
DE13,12.58449213459838
DE21,12.58449213459838
CH06,7.852280642129745
BG32,4.840264539852464
AT34,13.722860896297925
BE10,0.0
BE21,0.45316658744550314
BE33,6.013479146255606
CH02,7.852714386462771
CH03,7.909125509762747
BG42,4.4146419586490255
AT31,10.958297207137859
AL02,6.591572628051398
AL03,6.591572628051398
CH04,8.104361667749078
CZ05,8.196692864839033
AT32,7.171479983370973
AT21,9.380510320310826
BE31,3.006739573127803
CZ08,8.196692864839033
AT13,6.021895032051281
BE32,6.912714054033701
ES61,6.4303536235754235
ES62,7.827732281025014
ES63,0.0
ES64,0.0
DEF0,12.58449213459838
FI1B,3.2747499338677364
ES11,4.817544066134413
FR10,10.780412918606118
DE30,12.58449213459838
EL53,6.872231634804928
DEA1,12.58449213459838
EL64,4.5219725929436
DEG0,12.58449213459838
ITG2,11.313925318761383
ITH1,31.036121323529407
DK01,25.80236476426799
FI20,3.115025190663351
ES13,9.203397444464242
EL54,1.9484834558823525
DEA2,12.58449213459838
DE25,12.58449213459838
DED2,12.58449213459838
DE50,12.58449213459838
DE60,12.58449213459838
ES42,9.373456175558488
EL43,1.3396324761956482
DEC0,12.58449213459838
DEA4,12.58449213459838
ES43,2.979253626329771
FI1C,3.892883653669992
FI1D,4.4037637721599605
EL65,1.6711710209937158
EL30,0.8303546924773338
DE72,12.58449213459838
DEE0,12.58449213459838
ES41,3.6960013442529163
DED5,12.58449213459838
ES22,9.174409428358024
DED4,12.58449213459838
ES12,9.37677704315886
BE34,8.97405863236786
DK02,26.234658159463486
ES52,7.3195531265964
ES21,9.629405338273342
ES24,7.883018474828531
ES30,14.858553948169684
ES70,3.144595410628019
DE22,12.58449213459838
BG31,4.238853003371486
FI19,4.4480142993220975
RS21,2.186662655053896
BE35,7.12210086101008
DEB3,12.58449213459838
DE11,12.58449213459838
CZ04,8.196692864839033
ES51,8.575998382158675
ES23,7.5541149303416555
CZ07,8.196692864839033
FRB0,6.552681235329662
RO21,5.142950893461232
SE11,3.236702883463412
SE12,3.92479644584132
ITH4,8.736826995585321
MK00,2.8970908382004446
PT17,2.979253626329771
PT16,3.2181695323041524
PL22,8.325298986258806
SE21,5.297385787578815
LU00,10.911890608336881
PL61,8.870279035263602
PL41,9.418406588517554
LV00,0.0
RS12,3.882963705536319
PL62,7.015119535560175
FRI2,7.769922007260193
PL42,5.592761155828024
PL51,7.618800713213212
PL52,9.956617304394722
PL71,10.89759744797205
RS22,1.7789960323979233
LT02,8.404326502679455
FRI3,9.056523199486305
PT18,3.9017576021347793
SI04,11.337768633196442
PL63,7.288224672244839
PL43,5.562046747497701
PT15,5.166055612855102
ME00,3.2769152678130116
NL12,0.0
NL13,0.0
PL92,9.513738940863728
RO31,4.539558771611976
ITI1,10.6354313011556
ITI2,7.329213963048228
NL11,0.0
ITH5,20.121351858126097
NL41,0.0
NL42,0.0
FRD2,12.502017091172199
DE40,12.58449213459838
EE00,0.0
ITG1,3.238745568442979
RO22,4.790544793920451
PL72,8.176189644351464
EL51,12.317268564305822
DE26,12.58449213459838
NL22,0.0
DK03,23.72264823618969
DE93,12.58449213459838
PT11,3.9105716475638275
DE94,12.58449213459838
EL41,4.9678763440860205
EL62,1.0773437499999998
RO12,4.82435148633122
EL63,4.43239111923268
EL61,9.83951394234247
DEA5,12.58449213459838
PL82,6.5324900774080525
DE24,12.58449213459838
DEB2,12.58449213459838
PL81,10.963691309419653
ITI4,7.773495974697926
DE91,12.58449213459838
EL52,6.796694021378556
EL42,3.9456666666666664
DE80,12.58449213459838
DK04,23.508821395364567
ITH3,14.563735197860249
RO11,5.007697820702078
NL34,0.0
DK05,22.870781349681657
DE23,12.58449213459838
DEA3,12.58449213459838
PT20,3.144595410628019
PT30,3.144595410628019
PL21,7.431956241357203
ITH2,22.506114164263025
DE27,12.58449213459838
DE71,12.58449213459838
DE73,12.58449213459838
DE92,12.58449213459838
FRD1,12.095615785394337
DEB1,12.58449213459838
UKG1,0.0
UKL2,0.0
UKM5,0.0
UKM6,0.0
UKF3,0.0
UKK3,0.0
SK03,4.763279778450886
UKM8,0.0
FRE2,12.020416533567529
SK04,3.9044756563534446
UKM9,0.0
ITF5,7.0448138161277045
ITF6,8.244693444378836
SK02,6.070833599953181
FRK2,6.642399236389993
FRM0,6.636633325755853
FRF1,10.70598385524148
SE23,5.22166959369353
FRE1,13.594997623365094
UKJ1,0.0
HU22,6.955665343041847
ITC3,5.73933661475169
UKM7,0.0
HR02,8.917294378288563
FRY4,15.700992647058824
FRY5,5.293749999999999
PL84,9.15817337088598
FRJ2,6.299252042045958
MT00,2.199724264705882
NL23,0.0
NL31,0.0
NL32,0.0
HU31,3.4546342599657254
RO32,4.539558771611976
RS11,3.007204957193779
ITC2,0.0
NL33,0.0
ITF1,11.55244307844606
HR03,4.23521012775742
IE06,0.0
UKG2,0.0
ITF2,5.9379819730979095
PL91,8.94426582282875
FRG0,8.20110807178223
RO41,3.8454398234281513
ITC4,23.04928976165303
ITF3,18.930471241769016
ITC1,9.982087127093395
HU23,5.649673856909926
UKH3,0.0
FRY3,5.1461538461538465
RO42,4.043331146325054
FRF2,10.703512899265423
HU12,4.204919772493043
UKL1,0.0
FRL0,7.831327344261013
IS00,0.9359
FRY1,7.6125
FRY2,10.035043103448276
FRI1,8.533554544612256
FRF3,8.267351875613528
FRC2,7.009411829051243
HU11,4.000739363315862
ITI3,9.92314521829345
LI00,10.932791241239604
FRK1,7.86260306534531
FRC1,6.008041330282402
LT01,8.404326502679455
NL21,0.0
FRJ1,4.1299095843676685
SE33,3.1004542395297947
UKN0,0.0
ITF4,2.2410463759312442
IE04,0.0
IE05,0.0
UKC1,0.0
UKH2,0.0
UKE3,0.0
SK01,3.5469381057580223
UKJ3,0.0
HU21,6.1039080591829915
SI03,10.359941252970478
UKC2,0.0
SE31,3.68758941376469
FRH0,8.811648861557341
UKG3,0.0
UKD6,0.0
UKD7,0.0
UKH1,0.0
SE32,3.186601702027887
UKI7,0.0
UKI3,0.0
UKI4,0.0
UKI5,0.0
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKE4,0.0
HU32,5.142950893461232
HU33,4.9205380095546305
UKE2,0.0
UKF1,0.0
UKJ4,0.0
UKI6,0.0
UKF2,0.0
UKK4,0.0
UKK1,0.0
UKK2,0.0
SE22,6.0534918177925805
UKE1,0.0
UKJ2,0.0
TR82,4.300963624338624
TRC2,11.448053921568627
TRC3,3.7019111111111105
TR81,6.736610781730346
TRB2,7.7696319882485145
TR83,7.244449249960599
TR90,3.1351608187134503
TR71,14.841146886446886
TRC1,10.549752777777778
TRA2,4.927595267160041
TRB1,6.91484011627907
TRA1,5.626770684094035
TR63,7.38772601010101
TR72,4.254276605530698
NO02,0.0
TR61,7.777444289044288
TR62,5.315866741741742
HR06,8.505964828897339
NO06,0.0
NO07,0.0
TR33,7.6656459523809515
TR41,11.090657407407408
TR21,10.177814009661835
TR42,7.882888988154323
TR22,10.169794457961611
TR31,12.243282905982907
TR10,4.238499999999999
NO08,0.0
TR32,10.240204193670008
NO09,0.0
NO0A,0.0
TR51,6.562788888888888
TR52,13.240477547294171
HR05,5.100520833333333
NO0B,0.0
